School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
Geneva College,"Private School, Religious","$51,700","$85,300",62%,30%
Virginia State University,State School,"$49,600","$85,200",59%,16%
Point Park University,Private School,"$47,400","$85,200",44%,3%
Southwestern Adventist University,"Private School, Religious","$49,300","$85,200",70%,11%
Concordia College,"Private School, Religious","$51,800","$85,100",50%,0%
Pennsylvania College of Technology,State School,"$56,900","$85,100",49%,10%
Valdosta State University,"Research University, State School","$47,900","$85,100",55%,7%
McKendree University,"Private School, Religious","$50,100","$85,100",59%,8%
Ouachita Baptist University,"Liberal Arts School, Private School, Religious","$46,400","$85,100",61%,14%
Union College (Kentucky),"Private School, Religious","$41,100","$85,100",53%,2%
SUNY at Fredonia,State School,"$47,800","$85,000",44%,10%
Concordia University-Wisconsin,"Private School, Religious","$50,700","$85,000",58%,5%
Hope International University,"Private School, Religious","$46,100","$85,000",45%,0%
Olivet College,"Private School, Religious","$47,600","$85,000",50%,16%
Kentucky Wesleyan College,"Private School, Religious","$45,100","$85,000",67%,18%
Transylvania University,"Liberal Arts School, Private School, Religious","$50,900","$85,000",52%,28%
University of Wisconsin-Parkside,"Liberal Arts School, State School","$50,500","$84,900",48%,18%
Marymount Manhattan College,"Art, Liberal Arts School, Private School","$56,200","$84,800",39%,2%
Saint Elizabeth University,"Private School, Religious","$52,900","$84,800",58%,4%
University of Wisconsin-Stevens Point,State School,"$48,900","$84,800",56%,11%
Winthrop University,"For Sports Fans, State School","$48,400","$84,800",50%,11%
Tarleton State University,State School,"$50,500","$84,800",59%,7%
Misericordia University,"Private School, Religious","$51,100","$84,700",59%,6%
Wheeling University,"Private School, Religious","$48,400","$84,700",48%,8%
Hollins University,"Liberal Arts School, Private School","$43,900","$84,700",51%,10%
Alabama A & M University,"For Sports Fans, State School","$54,800","$84,600",58%,30%
Delaware Valley University,Private School,"$48,400","$84,600",57%,12%
Trevecca Nazarene University,"Private School, Religious, Research University","$49,500","$84,600",67%,4%
Georgia College & State University,State School,"$50,000","$84,600",52%,10%
University of Saint Francis-Fort Wayne,"Private School, Religious","$50,000","$84,600",68%,3%
Marshall University,"For Sports Fans, State School","$48,500","$84,500",51%,12%
Bemidji State University,State School,"$51,300","$84,500",49%,8%
Defiance College,"Private School, Religious","$43,900","$84,400",61%,2%
SUNY Empire State College,State School,"$51,100","$84,400",60%,8%
Antioch University-Los Angeles,Private School,"$52,700","$84,400",-,0%
,Private School,"$47,100","$84,400",81%,25%
Lubbock Christian University,"Private School, Religious","$50,200","$84,400",67%,8%
University of Houston-Victoria,State School,"$51,900","$84,400",56%,10%
North Park University,"Private School, Religious","$50,300","$84,400",59%,6%
Saginaw Valley State University,State School,"$50,600","$84,400",50%,13%
Nebraska Wesleyan University,"Private School, Religious","$50,400","$84,400",67%,11%
Kutztown University of Pennsylvania,State School,"$48,500","$84,300",48%,10%
Shenandoah University,"Private School, Religious, Research University","$53,600","$84,300",59%,8%
The University of Texas Rio Grande Valley,"Research University, For Sports Fans, State School","$50,000","$84,300",64%,19%
Aurora University,Private School,"$50,800","$84,300",54%,3%
University of Arkansas at Little Rock,"Research University, For Sports Fans, State School","$50,900","$84,300",58%,13%
Flagler College,Private School,"$45,600","$84,200",43%,0%
Saint Leo University,"Private School, Religious","$49,200","$84,200",62%,6%
Arkansas State University,"For Sports Fans, State School","$48,200","$84,200",56%,5%
University of Alaska Southeast,State School,"$55,800","$84,200",70%,3%
Troy University,"For Sports Fans, State School","$48,600","$84,200",59%,9%
Georgian Court University,"Private School, Religious","$46,200","$84,100",47%,6%
Bellevue College,State School,"$58,000","$84,100",51%,13%
University of Wisconsin-River Falls,State School,"$51,500","$84,100",52%,16%
Lakeview College of Nursing,Private School,"$59,700","$84,100",85%,0%
University of Southern Maine,State School,"$51,500","$84,100",55%,8%
Lake Erie College,Private School,"$44,100","$84,000",52%,9%
Texas Wesleyan University,"Private School, Religious","$46,000","$84,000",64%,4%
Clark Atlanta University,"Private School, Religious, Research University","$50,200","$84,000",54%,14%
Western Colorado University,State School,"$50,100","$84,000",53%,17%
Maryville University of Saint Louis,"Private School, Research University","$51,200","$84,000",54%,3%
Southwestern College (Kansas),"Private School, Religious","$53,700","$84,000",64%,15%
Freed-Hardeman University,"Private School, Religious","$46,700","$83,900",52%,7%
Belmont University,"Private School, Religious, For Sports Fans","$51,800","$83,900",45%,3%
Saint Francis Medical Center College of Nursing,"Private School, Religious","$58,600","$83,900",-,0%
Dominican University,"Private School, Religious","$53,000","$83,900",51%,9%
Adams State University,State School,"$47,300","$83,900",48%,3%
Indiana Wesleyan University-Marion,"Private School, Religious","$50,900","$83,900",57%,9%
Westfield State University,State School,"$51,700","$83,900",49%,8%
Mount Vernon Nazarene University,"Private School, Religious","$46,700","$83,800",53%,9%
Concord University,State School,"$46,800","$83,800",47%,11%
Johnson & Wales University-Denver,Private School,"$44,900","$83,800",46%,0%
St. Thomas University,"Private School, Religious","$51,100","$83,800",58%,5%
Emporia State University,State School,"$46,800","$83,800",60%,7%
Elmira College,"Liberal Arts School, Private School","$50,200","$83,700",59%,9%
Southern New Hampshire University,Private School,"$52,500","$83,700",53%,7%
Southeastern Oklahoma State University,State School,"$48,900","$83,600",56%,9%
Russell Sage College,Private School,"$46,900","$83,600",56%,4%
Bastyr University,Private School,"$50,900","$83,600",69%,0%
Johnson & Wales University-Providence,Private School,"$51,000","$83,600",44%,8%
California University of Pennsylvania,State School,"$48,700","$83,500",42%,8%
St Catherine University,"Private School, Religious","$53,400","$83,500",62%,3%
Antioch University-Midwest,Private School,"$45,600","$83,400",56%,0%
,Private School,"$54,500","$83,400",72%,32%
University of Southern Indiana,State School,"$49,200","$83,400",54%,9%
Greenville University,"Private School, Religious","$48,200","$83,400",46%,8%
Fort Lewis College,"Liberal Arts School, State School","$51,400","$83,400",57%,15%
Lake Superior State University,State School,"$49,700","$83,400",48%,16%
Cambridge College,Private School,"$45,400","$83,400",70%,0%
Lock Haven University,State School,"$45,800","$83,300",53%,9%
Viterbo University,"Private School, Religious","$51,400","$83,300",59%,2%
University of Arkansas for Medical Sciences,State School,"$56,900","$83,300",89%,3%
Delaware State University,"For Sports Fans, State School","$49,400","$83,300",63%,20%
Clarkson College,"Private School, Religious","$56,500","$83,300",85%,0%
Heidelberg University,"Private School, Religious","$48,500","$83,200",44%,6%
Texas Woman's University,"Research University, State School","$51,100","$83,200",68%,6%
Auburn University at Montgomery,State School,"$49,000","$83,200",60%,13%
Kansas City Art Institute,"Art, Private School","$45,800","$83,200",32%,0%
Western Oregon University,State School,"$48,800","$83,100",53%,7%
Cardinal Stritch University,"Private School, Religious, Research University","$52,200","$83,100",55%,3%
Covenant College,"Liberal Arts School, Private School, Religious","$48,800","$83,100",64%,12%
Henderson State University,State School,"$46,600","$83,100",57%,6%
The College of Saint Scholastica,"Private School, Religious","$57,800","$83,100",66%,8%
University of South Carolina-Upstate,"For Sports Fans, State School","$49,900","$83,000",47%,13%
University of Arkansas at Monticello,State School,"$47,600","$83,000",63%,2%
Hardin-Simmons University,"Private School, Religious","$52,300","$82,900",61%,8%
Eastern Kentucky University,"For Sports Fans, State School","$49,300","$82,900",58%,5%
Oakland City University,"Private School, Religious","$44,200","$82,900",50%,2%
Ohio Dominican University,"Private School, Religious","$50,200","$82,800",54%,5%
Langston University,State School,"$48,800","$82,800",65%,5%
Nyack College,"Private School, Religious","$51,400","$82,800",57%,1%
Southern Arkansas University Main Campus,State School,"$43,900","$82,800",55%,18%
Lyon College,"Liberal Arts School, Private School, Religious","$47,000","$82,800",56%,33%
Texas A & M International University,State School,"$45,100","$82,700",68%,14%
California Baptist University,"Private School, Religious","$52,600","$82,700",57%,9%
Francis Marion University,State School,"$47,300","$82,600",57%,14%
Northern Michigan University,State School,"$48,900","$82,600",50%,12%
Hood College,Private School,"$52,100","$82,600",46%,31%
State College of Florida-Manatee-Sarasota,State School,"$54,800","$82,500",77%,5%
Drury University,"Private School, Religious","$46,200","$82,500",58%,22%
Goddard College,Private School,"$48,800","$82,400",-,0%
Texas Southern University,"Research University, For Sports Fans, State School","$50,100","$82,400",64%,11%
LaGrange College,"Liberal Arts School, Private School, Religious","$46,600","$82,400",63%,7%
Fresno Pacific University,"Private School, Religious","$48,800","$82,400",57%,2%
Avila University,"Private School, Religious","$49,700","$82,400",64%,10%
Missouri Southern State University,State School,"$48,400","$82,400",63%,11%
,"Business, Private School","$48,000","$82,300",59%,14%
Piedmont University,"Private School, Religious","$44,300","$82,300",43%,2%
Indiana University-Kokomo,State School,"$46,900","$82,300",56%,4%
Goshen College,"Private School, Religious","$46,700","$82,300",64%,14%
Chadron State College,State School,"$44,800","$82,300",64%,5%
Clarke University,"Private School, Religious","$48,900","$82,300",51%,7%
SUNY College of Agriculture and Technology at Cobleskill,State School,"$43,900","$82,200",51%,5%
Southeast Missouri State University,"For Sports Fans, State School","$47,600","$82,200",52%,12%
Spalding University,"Private School, Religious, Research University","$50,100","$82,200",78%,0%
Lincoln College,Private School,"$52,000","$82,100",48%,1%
Mississippi College,"Private School, Religious","$48,800","$82,100",56%,18%
Northwestern State University of Louisiana,"For Sports Fans, State School","$47,300","$82,100",63%,6%
Morgan State University,"Research University, For Sports Fans, State School","$55,700","$82,100",58%,26%
,Private School,"$45,800","$82,100",51%,2%
Oklahoma Wesleyan University,"Private School, Religious","$48,200","$82,000",62%,4%
The University of Virginia's College at Wise,"Liberal Arts School, State School","$50,500","$82,000",50%,8%
Houghton College,"Liberal Arts School, Private School, Religious","$47,600","$81,900",54%,19%
East Texas Baptist University,"Private School, Religious","$47,700","$81,900",63%,6%
Fort Hays State University,State School,"$49,200","$81,900",61%,7%
Columbus College of Art and Design,"Art, Private School","$48,400","$81,800",34%,0%
Coastal Carolina University,"For Sports Fans, State School","$48,600","$81,800",48%,16%
Palm Beach Atlantic University,"Private School, Religious","$49,200","$81,800",58%,9%
Anderson University (Indiana),"Private School, Religious","$49,100","$81,800",61%,8%
San Diego Christian College,"Private School, Religious","$49,600","$81,800",-,1%
Siena Heights University,"Private School, Religious","$46,900","$81,800",55%,5%
Louisiana State University-Shreveport,"Business, State School","$48,600","$81,800",64%,3%
Dillard University,"Liberal Arts School, Private School, Religious","$48,100","$81,800",81%,29%
Mount Saint Joseph University,"Private School, Religious","$48,400","$81,700",63%,3%
Warren Wilson College,"Liberal Arts School, Private School","$42,000","$81,700",61%,14%
Wisconsin Lutheran College,"Private School, Religious","$50,900","$81,700",54%,11%
Lindenwood University,"Private School, Research University","$50,100","$81,700",46%,11%
Roberts Wesleyan College,"Private School, Religious","$51,500","$81,600",59%,3%
Everglades University,Private School,"$49,800","$81,600",59%,0%
Mount Marty University,"Private School, Religious","$45,800","$81,600",57%,3%
Columbus State University,State School,"$46,000","$81,600",59%,11%
University of Dubuque,"Private School, Religious","$48,000","$81,600",49%,13%
Wayland Baptist University,"Private School, Religious","$51,200","$81,500",65%,1%
Southeastern University,"Private School, Religious","$44,600","$81,500",67%,0%
Ringling College of Art and Design,"Art, Private School","$53,100","$81,500",35%,0%
Montana State University-Northern,State School,"$51,300","$81,500",53%,2%
Northwestern Oklahoma State University,State School,"$46,400","$81,400",55%,8%
Belmont Abbey College,"Private School, Religious","$50,400","$81,400",52%,7%
Lander University,State School,"$45,000","$81,400",58%,10%
Chatham University,Private School,"$45,500","$81,300",51%,13%
Johnson & Wales University-Online,"Business, Private School","$49,300","$81,300",43%,0%
Dickinson State University,State School,"$51,900","$81,200",56%,4%
Multnomah University,Private School,"$43,100","$81,200",79%,3%
Ottawa University-Online,"Private School, Religious","$50,400","$81,200",-,9%
Northern State University,State School,"$46,400","$81,200",58%,13%
Humphreys University-Stockton and Modesto Campuses,Private School,"$46,900","$81,200",64%,0%
Adrian College,"Private School, Religious","$45,800","$81,200",55%,11%
Ashland University,"Private School, Religious, Research University","$48,900","$81,100",52%,5%
Newberry College,"Private School, Religious","$45,800","$81,100",48%,10%
Midland College,State School,"$51,300","$81,100",-,3%
Mercyhurst University,"Private School, Religious","$49,600","$81,000",43%,8%
Bennett College,"Private School, Religious","$45,700","$81,000",-,38%
