School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
Massachusetts Institute of Technology,"Engineering, Private School, Research University","$93,700","$167,200",51%,68%
Harvey Mudd College,"Engineering, Liberal Arts School, Private School","$97,700","$166,600",56%,75%
Princeton University,"Ivy League, Private School, Research University, For Sports Fans","$81,800","$161,500",48%,49%
United States Naval Academy,"Engineering, Liberal Arts School, Sober School, For Sports Fans, State School","$83,700","$160,100",61%,57%
Stanford University,"Engineering, Private School, Research University, For Sports Fans","$87,100","$156,500",55%,50%
Harvard University,"Ivy League, Private School, Research University, For Sports Fans","$80,900","$156,200",49%,20%
Babson College,"Business, Private School","$77,800","$155,400",43%,2%
Santa Clara University,"Private School, Religious, For Sports Fans","$75,800","$154,700",46%,28%
United States Military Academy,"Liberal Arts School, Sober School, For Sports Fans, State School","$84,200","$154,300",60%,36%
University of Pennsylvania,"Ivy League, Private School, Research University, For Sports Fans","$78,300","$153,100",36%,23%
California Institute of Technology,"Engineering, Private School, Research University","$93,100","$153,100",53%,98%
Colgate University,"Liberal Arts School, Party School, Private School, For Sports Fans","$73,800","$152,600",43%,27%
Yale University,"Ivy League, Private School, Research University, For Sports Fans","$78,000","$151,600",53%,24%
Claremont McKenna College,"Liberal Arts School, Private School","$75,700","$151,200",47%,28%
Stevens Institute of Technology,"Engineering, Private School, Research University","$80,400","$150,900",48%,76%
SUNY Maritime College,State School,"$77,700","$150,500",55%,36%
Williams College,"Liberal Arts School, Private School","$70,600","$150,300",39%,34%
Dartmouth College,"Ivy League, Private School, Research University, For Sports Fans","$77,600","$149,800",44%,35%
Colorado School of Mines,"Engineering, Research University, State School","$79,300","$148,700",59%,96%
United States Air Force Academy,"Liberal Arts School, Sober School, For Sports Fans, State School","$80,100","$148,600",65%,40%
Lehigh University,"Private School, Research University, For Sports Fans","$74,600","$147,300",46%,48%
University of California-Berkeley,"Research University, For Sports Fans, State School","$77,400","$147,300",49%,42%
Webb Institute,"Engineering, Private School","$85,300","$146,500",45%,100%
Rose-Hulman Institute of Technology,"Engineering, Private School","$80,500","$146,500",53%,97%
United States Merchant Marine Academy,"Engineering, State School","$86,800","$145,600",57%,53%
Washington and Lee University,"Liberal Arts School, Private School","$69,100","$145,300",41%,19%
Georgia Institute of Technology-Main Campus,"Engineering, Research University, For Sports Fans, State School","$79,000","$145,300",48%,81%
University of Notre Dame,"Private School, Religious, Research University, For Sports Fans","$73,000","$143,800",40%,29%
Worcester Polytechnic Institute,"Engineering, Private School, Research University","$78,800","$143,800",51%,87%
Carnegie Mellon University,"Engineering, Private School, Research University","$84,000","$143,400",41%,67%
Swarthmore College,"Liberal Arts School, Private School","$70,800","$142,900",46%,36%
Duke University,"Private School, Religious, Research University, For Sports Fans","$76,800","$142,500",52%,27%
Brown University,"Ivy League, Private School, Research University, For Sports Fans","$74,700","$142,400",43%,40%
Georgetown University,"Private School, Religious, Research University, For Sports Fans","$71,600","$141,700",44%,13%
Rice University,"Private School, Research University, For Sports Fans","$77,900","$141,600",53%,45%
Haverford College,"Liberal Arts School, Private School","$65,400","$141,200",48%,37%
Albany College of Pharmacy and Health Sciences,Private School,"$75,900","$141,100",82%,3%
Rensselaer Polytechnic Institute,"Engineering, Private School, Research University","$76,700","$140,500",49%,79%
Clarkson University,"Engineering, Private School, Research University","$70,700","$139,900",58%,52%
Cooper Union for the Advancement of Science and Art,"Engineering, Private School","$73,700","$139,800",38%,65%
Cornell University,"Ivy League, Private School, Research University, For Sports Fans","$75,800","$139,600",44%,45%
California State University Maritime Academy,State School,"$73,100","$138,700",58%,20%
Lafayette College,"Liberal Arts School, Private School, Religious, For Sports Fans","$72,600","$138,500",37%,46%
Columbia University in the City of New York,"Ivy League, Private School, Research University, For Sports Fans","$78,200","$138,200",45%,33%
Bucknell University,"Liberal Arts School, Party School, Private School, For Sports Fans","$72,000","$136,900",41%,39%
Bates College,"Liberal Arts School, Private School","$62,800","$136,600",49%,23%
Manhattan College,"Private School, Religious, For Sports Fans","$68,000","$136,100",45%,37%
Charles R Drew University of Medicine and Science,Private School,"$90,800","$136,000",-,10%
Bowdoin College,"Liberal Arts School, Private School","$67,200","$135,900",51%,34%
Brandeis University,"Private School, Research University","$64,500","$135,700",46%,35%
University of California-San Diego,"Engineering, Research University, State School","$69,300","$135,300",53%,52%
University of California-Irvine,"Research University, For Sports Fans, State School","$65,100","$133,800",50%,38%
George Washington University,"Private School, Research University, For Sports Fans","$66,000","$133,600",47%,20%
Amherst College,"Liberal Arts School, Private School","$68,700","$133,400",41%,35%
Yeshiva University,"Private School, Research University","$68,400","$133,300",33%,9%
University of Southern California,"Private School, Research University, For Sports Fans","$70,400","$133,300",47%,23%
Samuel Merritt University,Private School,"$99,500","$132,600",-,0%
New York University,"Private School, Research University","$67,900","$132,100",42%,23%
Tufts University,"Private School, Research University","$70,700","$132,000",48%,27%
Union College (New York),"Liberal Arts School, Party School, Private School","$68,400","$131,900",45%,44%
University of Virginia-Main Campus,"Research University, For Sports Fans, State School","$69,800","$131,700",44%,23%
University of Chicago,"Private School, Research University","$70,700","$131,700",38%,25%
University of California-Santa Barbara,"Party School, Research University, For Sports Fans, State School","$63,600","$131,400",48%,29%
Pomona College,"Liberal Arts School, Private School","$70,200","$131,300",51%,33%
Embry-Riddle Aeronautical University-Prescott,Private School,"$73,000","$131,200",58%,40%
California Polytechnic State University-San Luis Obispo,"For Sports Fans, State School","$70,500","$130,800",51%,39%
Kettering University,"Engineering, Private School","$75,700","$130,300",42%,75%
Franklin and Marshall College,"Liberal Arts School, Private School","$61,600","$129,700",40%,24%
Loyola Marymount University,"Private School, Religious, For Sports Fans","$63,200","$129,700",38%,9%
New Jersey Institute of Technology,"Engineering, Research University, For Sports Fans, State School","$69,200","$129,600",52%,76%
Vanderbilt University,"Private School, Research University, For Sports Fans","$71,500","$129,600",46%,25%
Wesleyan University,"Liberal Arts School, Private School","$67,000","$129,600",47%,20%
Gettysburg College,"Liberal Arts School, Private School","$61,800","$129,500",43%,23%
Barnard College,"Liberal Arts School, Private School","$64,300","$129,300",56%,20%
University of California-Los Angeles,"Research University, For Sports Fans, State School","$66,500","$129,300",49%,33%
MCPHS University,Private School,"$68,200","$129,200",70%,1%
New Mexico Institute of Mining and Technology,"Engineering, State School","$70,500","$129,000",58%,94%
Virginia Military Institute,"Liberal Arts School, For Sports Fans, State School","$69,700","$129,000",67%,48%
Wake Forest University,"Party School, Private School, Research University, For Sports Fans","$65,300","$128,900",41%,15%
University of the Sciences,Private School,"$63,400","$128,700",72%,22%
Boston University,"Private School, Research University, For Sports Fans","$66,400","$128,700",42%,27%
Maine Maritime Academy,State School,"$71,100","$128,600",58%,44%
Fairfield University,"Private School, Religious, For Sports Fans","$67,700","$128,500",37%,12%
Middlebury College,"Liberal Arts School, Private School","$66,100","$128,000",48%,21%
Northwestern University,"Private School, Research University, For Sports Fans","$68,800","$128,000",45%,22%
University of California-Davis,"Research University, For Sports Fans, State School","$66,800","$128,000",53%,34%
Bentley University,"Business, Private School","$72,500","$127,900",37%,7%
,"Private School, Religious","$64,300","$127,500",37%,0%
College of the Holy Cross,"Liberal Arts School, Private School, Religious, For Sports Fans","$65,600","$127,100",48%,21%
Illinois Institute of Technology,"Engineering, Private School, Research University","$70,300","$127,000",50%,59%
Villanova University,"Private School, Religious, Research University, For Sports Fans","$70,700","$126,900",41%,21%
Boston College,"Private School, Religious, Research University, For Sports Fans","$69,000","$126,800",43%,16%
Case Western Reserve University,"Private School, Research University","$72,100","$126,600",47%,35%
Washington University in St Louis,"Private School, Research University","$70,000","$126,400",43%,31%
Emory University,"Private School, Religious, Research University","$68,400","$125,800",46%,23%
Loyola University Maryland,"Private School, Religious, For Sports Fans","$64,200","$125,800",41%,9%
Johns Hopkins University,"Private School, Research University","$73,500","$125,800",59%,34%
Missouri University of Science and Technology,"Engineering, Research University, State School","$72,600","$125,500",51%,81%
Occidental College,"Liberal Arts School, Private School","$60,300","$125,300",50%,22%
Carleton College,"Liberal Arts School, Private School","$62,100","$125,200",45%,42%
Texas A & M University-College Station,"Research University, For Sports Fans, State School","$64,400","$125,100",52%,31%
United States Coast Guard Academy,"Engineering, State School","$79,700","$125,000",77%,67%
Saint Mary's College of California,"Private School, Religious, For Sports Fans","$63,500","$125,000",52%,6%
Wabash College,"Liberal Arts School, Private School","$65,900","$124,900",36%,21%
Fordham University,"Private School, Religious, Research University, For Sports Fans","$63,700","$124,800",40%,14%
Davidson College,"Liberal Arts School, Private School, Religious, For Sports Fans","$61,300","$124,100",51%,30%
University of Illinois Urbana-Champaign,"Research University, For Sports Fans, State School","$68,300","$123,600",43%,39%
Menlo College,"Business, Private School","$66,700","$123,600",53%,0%
Trinity College,"Liberal Arts School, Private School","$64,200","$123,200",51%,24%
Massachusetts Maritime Academy,State School,"$72,900","$123,200",53%,38%
Hofstra University,"Private School, Research University, For Sports Fans","$60,000","$123,100",42%,8%
University of Rochester,"Private School, Research University","$67,300","$122,600",51%,32%
Southern Methodist University,"Private School, Religious, Research University, For Sports Fans","$64,700","$122,600",47%,25%
Milwaukee School of Engineering,"Engineering, Private School","$71,800","$122,400",49%,70%
University of San Diego,"Private School, Religious, Research University, For Sports Fans","$64,000","$122,400",46%,15%
Capitol Technology University,"Engineering, Private School","$76,300","$122,300",71%,85%
Rutgers University-New Brunswick,"Research University, For Sports Fans, State School","$64,600","$122,000",42%,31%
Virginia Polytechnic Institute and State University,"Research University, For Sports Fans, State School","$67,900","$121,800",48%,42%
Hampden-Sydney College,"Liberal Arts School, Private School","$63,500","$121,800",50%,21%
The University of Texas at Austin,"Research University, For Sports Fans, State School","$65,900","$121,800",49%,31%
Hobart William Smith Colleges,"Liberal Arts School, Private School","$59,700","$121,600",44%,19%
Seattle University,"Private School, Religious, For Sports Fans","$65,700","$121,400",58%,16%
University of Washington-Seattle Campus,"Research University, For Sports Fans, State School","$67,400","$121,400",52%,37%
Denison University,"Liberal Arts School, Private School","$56,900","$121,000",46%,22%
Binghamton University,"Research University, For Sports Fans, State School","$65,200","$120,900",43%,36%
San Jose State University,"For Sports Fans, State School","$69,000","$120,900",53%,27%
Michigan Technological University,"Engineering, Research University, State School","$71,100","$120,900",45%,74%
William & Mary,"Research University, For Sports Fans, State School","$63,400","$120,800",42%,19%
Wittenberg University,"Liberal Arts School, Private School, Religious","$54,200","$120,500",61%,18%
Clark University,"Private School, Research University","$56,600","$120,400",53%,22%
University of San Francisco,"Private School, Religious, Research University, For Sports Fans","$64,700","$120,300",53%,11%
Reed College,"Liberal Arts School, Private School","$61,600","$120,100",40%,31%
Brigham Young University,"Private School, Religious, Research University, Sober School, For Sports Fans","$63,400","$120,100",60%,29%
Wentworth Institute of Technology,"Engineering, Private School","$68,200","$120,100",55%,52%
University of Colorado Boulder,"Research University, For Sports Fans, State School","$62,400","$119,900",48%,40%
Whitman College,"Liberal Arts School, Private School","$59,800","$119,700",52%,36%
South Dakota School of Mines and Technology,"Engineering, State School","$71,800","$119,600",56%,93%
California State Polytechnic University-Pomona,State School,"$62,400","$119,600",50%,30%
Westmont College,"Liberal Arts School, Private School, Religious","$57,700","$119,400",54%,21%
University of Michigan-Ann Arbor,"Research University, For Sports Fans, State School","$70,200","$119,400",44%,41%
Providence College,"Private School, Religious, For Sports Fans","$63,500","$119,100",48%,11%
Drexel University,"Private School, Research University, For Sports Fans","$66,700","$118,800",46%,28%
University of Maryland-College Park,"Research University, For Sports Fans, State School","$67,200","$118,600",50%,38%
University of St Thomas (Minnesota),"Private School, Religious, Research University","$62,300","$118,500",50%,23%
Saint Johns University,"Liberal Arts School, Private School, Religious","$61,900","$118,500",49%,19%
Miami University-Oxford,"Research University, For Sports Fans, State School","$61,000","$118,400",46%,22%
The New School,"Private School, Research University","$59,200","$118,200",36%,9%
Pace University,"Private School, Research University","$62,800","$117,700",43%,14%
Citadel Military College of South Carolina,"For Sports Fans, State School","$63,900","$117,600",65%,21%
Gonzaga University,"Private School, Religious, For Sports Fans","$63,300","$117,500",51%,19%
University of the Pacific,"Private School, Research University, For Sports Fans","$63,500","$117,500",60%,15%
Kenyon College,"Liberal Arts School, Private School","$58,800","$117,400",55%,18%
University of Richmond,"Liberal Arts School, Private School, For Sports Fans","$64,000","$117,000",47%,17%
Stony Brook University,"Research University, For Sports Fans, State School","$63,900","$116,800",50%,37%
CUNY Bernard M Baruch College,"Business, Sober School, State School","$62,800","$116,600",39%,9%
University of California-Santa Cruz,"Research University, State School","$63,400","$116,600",50%,44%
Rhodes College,"Liberal Arts School, Private School, Religious","$55,100","$116,500",46%,28%
Lawrence Technological University,"Engineering, Private School","$61,600","$116,500",48%,53%
Willamette University,"Liberal Arts School, Private School","$55,600","$116,100",53%,13%
University of Puget Sound,"Liberal Arts School, Private School","$58,700","$116,100",46%,18%
University of Massachusetts-Lowell,"Research University, For Sports Fans, State School","$63,600","$116,100",53%,36%
The Catholic University of America,"Private School, Religious, Research University","$61,100","$115,900",55%,14%
Tulane University of Louisiana,"Party School, Private School, Research University, For Sports Fans","$60,400","$115,900",45%,22%
Ithaca College,Private School,"$56,400","$115,800",43%,8%
Golden Gate University-San Francisco,"Business, Private School","$62,100","$115,700",48%,2%
Northeastern University,"Private School, Research University, For Sports Fans","$69,200","$115,600",47%,49%
Embry-Riddle Aeronautical University-Daytona Beach,Private School,"$69,700","$115,500",61%,41%
St. John's University-New York,"Private School, Religious, Research University, For Sports Fans","$58,300","$115,200",44%,10%
George Mason University,"Research University, For Sports Fans, State School","$63,500","$115,100",47%,22%
Syracuse University,"Party School, Private School, Research University, For Sports Fans","$63,000","$114,800",45%,28%
Bryant University,"Business, Private School, For Sports Fans","$65,200","$114,800",37%,6%
Wellesley College,"Liberal Arts School, Private School","$65,800","$114,800",46%,34%
University of Puerto Rico-Mayaguez,"Engineering, State School","$69,800","$114,700",61%,53%
Ursinus College,"Liberal Arts School, Private School","$56,600","$114,700",57%,45%
Polytechnic University of Puerto Rico-Miami,"Business, Private School","$66,100","$114,600",64%,36%
Lake Forest College,"Liberal Arts School, Private School","$59,400","$114,600",46%,20%
California State University-Chico,State School,"$60,700","$114,600",50%,13%
Southern California Institute of Architecture,Private School,"$57,600","$114,500",73%,0%
Fashion Institute of Technology,State School,"$57,800","$114,200",28%,0%
North Carolina State University at Raleigh,"Research University, For Sports Fans, State School","$62,200","$114,200",52%,45%
University of Washington-Bothell Campus,State School,"$66,300","$114,200",55%,32%
The University of the South,"Liberal Arts School, Party School, Private School, Religious","$57,100","$114,200",60%,19%
Marquette University,"Private School, Religious, Research University, For Sports Fans","$62,200","$114,100",52%,25%
University of Denver,"Private School, Research University, For Sports Fans","$60,300","$114,000",48%,13%
Wagner College,"Private School, Religious, For Sports Fans","$62,000","$113,800",45%,8%
DePaul University,"Private School, Religious, Research University, For Sports Fans","$59,900","$113,800",44%,15%
Saint Joseph's University,"Private School, Religious, For Sports Fans","$61,300","$113,700",38%,5%
University of Delaware,"Party School, Research University, For Sports Fans, State School","$63,200","$113,700",46%,23%
American University,"Private School, Religious, Research University, For Sports Fans","$59,900","$113,600",46%,3%
St Lawrence University,"Liberal Arts School, Party School, Private School","$60,100","$113,500",49%,26%
Albion College,"Liberal Arts School, Private School","$54,200","$113,500",43%,23%
California Institute of Integral Studies,"Private School, Research University","$61,000","$113,400",-,0%
Hampshire College,"Liberal Arts School, Private School","$50,000","$113,300",46%,11%
University of California-Riverside,"Research University, For Sports Fans, State School","$60,200","$113,200",49%,34%
Sarah Lawrence College,"Liberal Arts School, Private School","$56,900","$113,100",33%,0%
University of Dayton,"Party School, Private School, Religious, Research University, For Sports Fans","$62,200","$113,000",44%,31%
Skidmore College,"Liberal Arts School, Private School","$58,300","$113,000",46%,21%
Art Center College of Design,"Art, Private School","$69,200","$113,000",39%,6%
SUNY at Albany,"Research University, For Sports Fans, State School","$56,800","$112,900",45%,20%
Trinity University,"Private School, Religious","$57,800","$112,900",45%,25%
University of Alabama in Huntsville,"Research University, State School","$62,200","$112,900",57%,44%
Stonehill College,"Liberal Arts School, Private School, Religious","$59,500","$112,900",43%,15%
Purdue University-Main Campus,"Research University, For Sports Fans, State School","$66,500","$112,800",48%,42%
Wheaton College (Illinois),"Liberal Arts School, Private School, Religious, Sober School","$58,000","$112,800",55%,12%
Seattle Pacific University,"Private School, Religious, Research University","$57,800","$112,600",52%,15%
St. John's College (Maryland),"Liberal Arts School, Private School","$58,500","$112,500",61%,0%
University of Portland,"Private School, Religious, For Sports Fans","$64,000","$112,300",51%,31%
Wofford College,"Liberal Arts School, Private School, Religious, For Sports Fans","$56,000","$112,300",54%,32%
Pratt Institute-Main,"Art, Private School","$56,600","$112,200",40%,3%
Pepperdine University,"Private School, Religious, Research University, For Sports Fans","$63,400","$112,200",49%,6%
University of Minnesota-Twin Cities,"Research University, For Sports Fans, State School","$62,400","$112,200",52%,29%
St Olaf College,"Liberal Arts School, Private School, Religious","$58,300","$112,100",44%,28%
North Central State College,State School,"$64,000","$111,900",-,16%
La Salle University,"Private School, Religious, For Sports Fans","$58,300","$111,700",44%,6%
Iona College,"Private School, Religious, For Sports Fans","$59,200","$111,600",38%,5%
Clemson University,"Research University, For Sports Fans, State School","$62,100","$111,500",50%,35%
Bradley University,"Private School, For Sports Fans","$59,400","$111,500",45%,22%
California College of the Arts,"Art, Private School","$66,700","$111,500",48%,0%
Kalamazoo College,"Liberal Arts School, Private School","$54,600","$111,500",54%,36%
Vassar College,"Liberal Arts School, Private School","$58,700","$111,400",52%,31%
University of Wisconsin-Madison,"Party School, Research University, For Sports Fans, State School","$62,900","$111,400",47%,31%
James Madison University,"For Sports Fans, State School","$61,700","$111,300",42%,13%
Susquehanna University,"Liberal Arts School, Private School, Religious","$55,200","$111,300",40%,22%
West Virginia University Institute of Technology,"Engineering, State School","$59,900","$111,200",54%,55%
Texas Tech University,"Research University, For Sports Fans, State School","$60,600","$111,200",55%,23%
Hamilton College,"Liberal Arts School, Private School","$66,100","$111,100",48%,25%
DePauw University,"Liberal Arts School, Private School","$62,300","$111,100",43%,22%
Auburn University,"Research University, For Sports Fans, State School","$59,100","$111,000",51%,34%
University of Connecticut,"Party School, Research University, For Sports Fans, State School","$64,700","$111,000",47%,26%
Colby College,"Liberal Arts School, Private School","$64,900","$111,000",51%,27%
Rochester Institute of Technology,"Engineering, Private School, Research University","$67,600","$110,900",44%,55%
Drake University,"Private School, For Sports Fans","$56,400","$110,800",49%,8%
University of Utah,"Research University, For Sports Fans, State School","$59,800","$110,700",56%,23%
Ohio Wesleyan University,"Liberal Arts School, Private School, Religious","$53,200","$110,600",49%,21%
SUNY Downstate Health Sciences University,State School,"$73,700","$110,500",82%,2%
University of Florida,"Research University, For Sports Fans, State School","$60,300","$110,500",51%,29%
University of Maryland-Baltimore County,"Research University, For Sports Fans, State School","$63,100","$110,500",53%,49%
Baylor University,"Private School, Religious, Research University, Sober School, For Sports Fans","$59,700","$110,400",49%,15%
San Diego State University,"Research University, For Sports Fans, State School","$60,000","$110,400",50%,19%
University of Tulsa,"Private School, Religious, Research University, For Sports Fans","$64,200","$110,300",47%,38%
Siena College,"Liberal Arts School, Private School, Religious, For Sports Fans","$58,000","$110,300",48%,19%
University of Houston,"Research University, For Sports Fans, State School","$60,800","$110,300",50%,24%
Washington State University,"Research University, For Sports Fans, State School","$60,700","$110,100",50%,22%
Oregon State University,"Research University, For Sports Fans, State School","$61,200","$110,000",52%,36%
Seton Hall University,"Private School, Religious, Research University, For Sports Fans","$61,700","$110,000",47%,9%
University of Georgia,"Research University, For Sports Fans, State School","$59,500","$110,000",43%,16%
University of Hartford,"Private School, Research University, For Sports Fans","$59,100","$110,000",52%,14%
University of Illinois Chicago,"Research University, For Sports Fans, State School","$61,500","$109,900",48%,29%
University of Redlands,Private School,"$59,000","$109,900",54%,5%
Whittier College,"Liberal Arts School, Private School","$55,400","$109,700",51%,15%
Florida Institute of Technology,"Private School, Research University","$63,200","$109,600",52%,45%
Lawrence University,"Liberal Arts School, Private School","$53,100","$109,500",52%,31%
John Carroll University,"Private School, Religious","$54,700","$109,400",40%,15%
University of Massachusetts-Amherst,"Research University, For Sports Fans, State School","$62,300","$109,400",46%,27%
New York Institute of Technology,Private School,"$59,300","$109,200",48%,26%
Saint Anselm College,"Liberal Arts School, Private School, Religious","$59,500","$109,200",56%,13%
Furman University,"Liberal Arts School, Private School, For Sports Fans","$55,400","$109,200",43%,17%
California State University-Long Beach,"For Sports Fans, State School","$56,800","$109,200",49%,17%
Rutgers University-Newark,"Research University, State School","$62,200","$109,100",47%,14%
Butler University,"Private School, For Sports Fans","$55,400","$109,100",54%,9%
Oregon Institute of Technology,State School,"$67,200","$109,000",59%,29%
Ohio Northern University,"Private School, Religious","$60,200","$108,900",45%,19%
Marist College,"Private School, For Sports Fans","$60,700","$108,900",32%,17%
Connecticut College,"Liberal Arts School, Private School","$63,400","$108,900",46%,22%
Walla Walla University,"Private School, Religious","$57,000","$108,800",54%,22%
Louisiana State University and Agricultural & Mechanical College,"Research University, For Sports Fans, State School","$58,300","$108,800",51%,23%
California State University-East Bay,State School,"$62,300","$108,700",55%,12%
Grinnell College,"Liberal Arts School, Private School","$58,300","$108,500",46%,43%
University of Iowa,"Research University, For Sports Fans, State School","$58,400","$108,400",49%,17%
Western Washington University,State School,"$59,600","$108,300",45%,16%
University of Dallas,"Private School, Religious","$57,300","$108,200",54%,16%
Merrimack College,"Private School, Religious","$59,400","$108,200",52%,12%
Allegheny College,"Liberal Arts School, Private School, Religious","$53,600","$107,900",40%,33%
Howard University,"Private School, Research University, For Sports Fans","$60,500","$107,900",57%,17%
University of Scranton,"Private School, Religious","$58,300","$107,800",39%,12%
Saint Michael's College,"Liberal Arts School, Private School, Religious","$54,500","$107,700",43%,20%
Colorado College,"Liberal Arts School, Private School","$58,300","$107,700",49%,32%
California Lutheran University,"Private School, Religious","$54,800","$107,600",56%,15%
Rhode Island School of Design,"Art, Private School","$61,000","$107,500",38%,0%
University of Arizona,"Research University, For Sports Fans, State School","$60,500","$107,500",51%,26%
Montana Technological University,"Engineering, State School","$66,000","$107,500",65%,62%
Taylor University,"Private School, Religious","$53,100","$107,400",55%,24%
Universidad Ana G. Mendez-Cupey Campus,Private School,"$50,300","$107,300",66%,2%
Texas Christian University,"Private School, Religious, Research University, For Sports Fans","$60,100","$107,200",51%,11%
University of Oklahoma-Health Sciences Center,State School,"$61,900","$107,000",-,4%
University of Missouri-Columbia,"Research University, For Sports Fans, State School","$56,700","$107,000",49%,14%
University of Vermont,"Research University, For Sports Fans, State School","$57,900","$106,900",52%,24%
Muhlenberg College,"Liberal Arts School, Private School, Religious","$57,500","$106,800",48%,19%
California State University-Sacramento,"For Sports Fans, State School","$58,500","$106,800",54%,16%
California State University-Fullerton,"Research University, For Sports Fans, State School","$54,900","$106,800",50%,15%
Grove City College,"Liberal Arts School, Private School, Religious, Sober School","$58,900","$106,700",51%,27%
University of Rhode Island,"Party School, Research University, For Sports Fans, State School","$58,500","$106,600",49%,22%
Arizona State University Campus Immersion,"Research University, For Sports Fans, State School","$58,900","$106,600",52%,27%
Hartwick College,"Liberal Arts School, Private School","$55,400","$106,500",59%,15%
University of Miami,"Private School, Research University, For Sports Fans","$61,500","$106,500",46%,24%
Illinois Wesleyan University,"Liberal Arts School, Private School","$57,900","$106,400",46%,19%
Sacred Heart University,"Private School, Religious, For Sports Fans","$59,300","$106,400",50%,7%
Iowa State University,"Research University, For Sports Fans, State School","$61,000","$106,400",48%,37%
Western New England University,Private School,"$62,300","$106,300",44%,21%
University of New Hampshire-Main Campus,"Research University, For Sports Fans, State School","$58,900","$106,300",51%,24%
Long Island University,Private School,"$56,200","$106,200",49%,7%
The College of New Jersey,State School,"$63,700","$106,200",46%,17%
Pacific Lutheran University,"Private School, Religious","$58,400","$106,200",52%,15%
University of Pittsburgh-Pittsburgh Campus,"Research University, For Sports Fans, State School","$62,300","$106,200",49%,30%
Morehouse College,"Liberal Arts School, Private School","$60,300","$106,200",56%,18%
Rider University,"Private School, For Sports Fans","$54,600","$106,100",47%,4%
San Francisco State University,"Research University, State School","$62,000","$106,100",52%,15%
Montclair State University,"Research University, State School","$53,700","$106,000",42%,10%
University of Alaska Fairbanks,"Research University, State School","$61,600","$106,000",52%,20%
California State University-Fresno,"Research University, For Sports Fans, State School","$55,000","$105,900",57%,11%
Michigan State University,"Research University, For Sports Fans, State School","$59,700","$105,900",46%,23%
Loyola University Chicago,"Private School, Religious, Research University, For Sports Fans","$58,300","$105,700",43%,15%
Loma Linda University,"Private School, Religious","$74,300","$105,700",83%,3%
Gustavus Adolphus College,"Liberal Arts School, Private School, Religious","$54,700","$105,700",50%,17%
West Virginia University,"Party School, Research University, For Sports Fans, State School","$58,000","$105,600",53%,22%
The University of Texas at Dallas,"Research University, State School","$63,100","$105,600",43%,45%
University of Alaska Anchorage,State School,"$60,900","$105,600",58%,9%
Emerson College,Private School,"$54,200","$105,600",41%,0%
Fairleigh Dickinson University-Florham Campus,"Private School, For Sports Fans","$57,300","$105,500",47%,11%
Fairleigh Dickinson University-Florham Campus,"Private School, For Sports Fans","$57,300","$105,500",47%,11%
Oregon Health & Science University,State School,"$74,700","$105,400",74%,6%
University of Oklahoma-Norman Campus,"Research University, For Sports Fans, State School","$59,000","$105,300",52%,22%
Indiana University-Bloomington,"Research University, For Sports Fans, State School","$57,900","$105,200",48%,15%
University of Kansas,"Research University, For Sports Fans, State School","$57,100","$105,200",52%,17%
Scripps College,"Liberal Arts School, Private School","$59,900","$105,100",47%,24%
Oklahoma State University-Main Campus,"Research University, For Sports Fans, State School","$56,600","$105,000",55%,25%
The University of Texas at Arlington,"Research University, For Sports Fans, State School","$60,200","$104,900",56%,19%
St. John's College-Department of Nursing,"Private School, Religious","$60,900","$104,900",-,0%
California State University-Northridge,"For Sports Fans, State School","$55,400","$104,900",50%,13%
University of Arkansas,"Research University, For Sports Fans, State School","$57,300","$104,900",50%,19%
Smith College,"Liberal Arts School, Private School","$57,100","$104,900",50%,30%
St. Mary's College of Maryland,"Liberal Arts School, State School","$56,900","$104,900",52%,29%
Texas A & M University-Kingsville,"Research University, State School","$57,400","$104,800",63%,40%
University of Idaho,"Research University, For Sports Fans, State School","$56,400","$104,800",55%,24%
University of Oregon,"Research University, For Sports Fans, State School","$56,000","$104,700",47%,14%
Sonoma State University,State School,"$57,500","$104,700",56%,12%
University of Michigan-Dearborn,State School,"$59,500","$104,700",39%,42%
The Juilliard School,"Art, Private School","$56,800","$104,600",-,0%
Brigham Young University-Idaho,"Private School, Religious","$57,200","$104,600",62%,14%
Westminster College (Missouri),"Liberal Arts School, Private School, Religious","$50,200","$104,600",46%,26%
Lewis & Clark College,"Liberal Arts School, Private School","$53,900","$104,500",57%,11%
University of Mary Washington,State School,"$57,400","$104,400",51%,18%
Brigham Young University-Hawaii,"Private School, Religious","$55,900","$104,400",59%,15%
Wheaton College (Massachusetts),"Liberal Arts School, Private School","$54,600","$104,400",52%,26%
CUNY Brooklyn College,State School,"$55,600","$104,300",46%,12%
University of North Carolina at Chapel Hill,"Research University, For Sports Fans, State School","$60,400","$104,300",49%,21%
California State University-Monterey Bay,State School,"$54,400","$104,300",54%,14%
Touro College,Private School,"$62,100","$104,200",49%,7%
Chapman University,"Private School, Religious","$58,900","$104,100",45%,7%
North Dakota State University-Main Campus,"Research University, For Sports Fans, State School","$58,800","$104,000",58%,26%
Dickinson College,"Liberal Arts School, Private School","$59,700","$104,000",43%,23%
Felician University,"Private School, Religious","$54,800","$104,000",49%,15%
Widener University,"Private School, Research University","$60,000","$104,000",58%,12%
North Central College,"Private School, Religious","$53,200","$104,000",45%,12%
Oberlin College,"Liberal Arts School, Private School","$58,000","$103,900",48%,21%
